key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19100507-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-07,0,1910-SFE,San Francisco,a,2.0,Los Angeles,h,7.0,final,
19100507-PCLOAK-PCLSAC-0,Pacific Coast League,1910-05-07,0,1910-SFE,Sacramento,a,2.0,Oakland,h,5.0,final,
19100507-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-07,0,1910-SFE,Vernon,a,2.0,Portland,h,0.0,final,
19100508-PCLLAA-PCLSFS-1,Pacific Coast League,1910-05-08,1,1910-SFE,San Francisco,a,6.0,Los Angeles,h,2.0,final,
19100508-PCLLAA-PCLSFS-2,Pacific Coast League,1910-05-08,2,1910-SFE,San Francisco,a,9.0,Los Angeles,h,7.0,final,
19100508-PCLOAK-PCLSAC-1,Pacific Coast League,1910-05-08,1,1910-SFE,Sacramento,a,4.0,Oakland,h,2.0,final,
19100508-PCLOAK-PCLSAC-2,Pacific Coast League,1910-05-08,2,1910-SFE,Sacramento,a,2.0,Oakland,h,7.0,final,
19100508-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-08,0,1910-LAH,Vernon,a,2,Portland,h,0,final,
19100509-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-09,0,1910-SFE,San Francisco,a,4.0,Los Angeles,h,10.0,final,
19100510-PCLOAK-PCLSFS-0,Pacific Coast League,1910-05-10,0,1910-SFE,Oakland,a,5.0,San Francisco,h,4.0,final,
19100510-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-10,0,1910-SFE,Vernon,a,0.0,Sacramento,h,3.0,final,
19100511-PCLLAA-PCLPOR-0,Pacific Coast League,1910-05-11,0,1910-SFE,Portland,a,5.0,Los Angeles,h,3.0,final,
19100511-PCLOAK-PCLSFS-0,Pacific Coast League,1910-05-11,0,1910-SFE,Oakland,a,8.0,San Francisco,h,2.0,final,
19100511-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-11,0,1910-SFE,Vernon,a,4.0,Sacramento,h,7.0,final,
19100512-PCLLAA-PCLPOR-0,Pacific Coast League,1910-05-12,0,1910-SFE,Portland,a,6.0,Los Angeles,h,3.0,final,
19100512-PCLOAK-PCLSFS-0,Pacific Coast League,1910-05-12,0,1910-SFE,Oakland,a,11.0,San Francisco,h,1.0,final,
19100512-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-12,0,1910-SFE,Vernon,a,4.0,Sacramento,h,2.0,final,
19100513-PCLLAA-PCLPOR-0,Pacific Coast League,1910-05-13,0,1910-SFE,Portland,a,5.0,Los Angeles,h,4.0,final,
19100513-PCLOAK-PCLSFS-0,Pacific Coast League,1910-05-13,0,1910-SFE,Oakland,a,2.0,San Francisco,h,3.0,final,
19100513-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-13,0,1910-SFE,Vernon,a,5.0,Sacramento,h,4.0,final,
19100514-PCLLAA-PCLPOR-0,Pacific Coast League,1910-05-14,0,1910-SFE,Portland,a,1.0,Los Angeles,h,2.0,final,
19100514-PCLOAK-PCLSFS-0,Pacific Coast League,1910-05-14,0,1910-SFE,Oakland,a,3.0,San Francisco,h,0.0,final,
19100514-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-14,0,1910-SFE,Vernon,a,13.0,Sacramento,h,8.0,final,
19100515-PCLLAA-PCLPOR-1,Pacific Coast League,1910-05-15,1,1910-SFE,Portland,a,5.0,Los Angeles,h,4.0,final,
19100515-PCLLAA-PCLPOR-2,Pacific Coast League,1910-05-15,2,1910-SFE,Portland,a,0.0,Los Angeles,h,3.0,final,
19100515-PCLOAK-PCLSFS-1,Pacific Coast League,1910-05-15,1,1910-SFE,Oakland,a,1.0,San Francisco,h,3.0,final,
19100515-PCLOAK-PCLSFS-2,Pacific Coast League,1910-05-15,2,1910-SFE,Oakland,a,1.0,San Francisco,h,5.0,final,
19100515-PCLSAC-PCLVER-0,Pacific Coast League,1910-05-15,0,1910-SFE,Vernon,a,14.0,Sacramento,h,5.0,final,
19100516-PCLLAA-PCLPOR-0,Pacific Coast League,1910-05-16,0,1910-SFE,Portland,a,8.0,Los Angeles,h,4.0,final,
19100517-PCLLAA-PCLVER-0,Pacific Coast League,1910-05-17,0,1910-SFE,Vernon,a,3.0,Los Angeles,h,1.0,final,
19100517-PCLOAK-PCLPOR-0,Pacific Coast League,1910-05-17,0,1910-SFE,Portland,a,1.0,Oakland,h,4.0,final,
19100517-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-17,0,1910-SFE,San Francisco,a,2.0,Sacramento,h,4.0,final,
19100518-PCLLAA-PCLVER-0,Pacific Coast League,1910-05-18,0,1910-SFE,Vernon,a,1.0,Los Angeles,h,3.0,final,
19100518-PCLOAK-PCLPOR-0,Pacific Coast League,1910-05-18,0,1910-SFE,Portland,a,3.0,Oakland,h,2.0,final,
19100518-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-18,0,1910-SFE,San Francisco,a,5.0,Sacramento,h,4.0,final,
19100519-PCLLAA-PCLVER-0,Pacific Coast League,1910-05-19,0,1910-SFE,Vernon,a,5.0,Los Angeles,h,4.0,final,
19100519-PCLOAK-PCLPOR-0,Pacific Coast League,1910-05-19,0,1910-SFE,Portland,a,4.0,Oakland,h,5.0,final,
19100519-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-19,0,1910-SFE,San Francisco,a,0.0,Sacramento,h,1.0,final,
19100520-PCLLAA-PCLVER-0,Pacific Coast League,1910-05-20,0,1910-SFE,Vernon,a,5.0,Los Angeles,h,3.0,final,
19100520-PCLOAK-PCLPOR-0,Pacific Coast League,1910-05-20,0,1910-SFE,Portland,a,6.0,Oakland,h,7.0,final,
19100520-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-20,0,1910-SFE,San Francisco,a,4.0,Sacramento,h,1.0,final,
19100521-PCLLAA-PCLVER-0,Pacific Coast League,1910-05-21,0,1910-SFE,Vernon,a,1.0,Los Angeles,h,7.0,final,
19100521-PCLOAK-PCLPOR-0,Pacific Coast League,1910-05-21,0,1910-SFE,Portland,a,3.0,Oakland,h,1.0,final,
19100521-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-21,0,1910-SFE,San Francisco,a,0.0,Sacramento,h,4.0,final,
19100522-PCLLAA-PCLVER-1,Pacific Coast League,1910-05-22,1,1910-SFE,Vernon,a,1.0,Los Angeles,h,4.0,final,
19100522-PCLLAA-PCLVER-2,Pacific Coast League,1910-05-22,2,1910-SFE,Vernon,a,5.0,Los Angeles,h,3.0,final,
19100522-PCLOAK-PCLPOR-1,Pacific Coast League,1910-05-22,1,1910-SFE,Portland,a,1.0,Oakland,h,9.0,final,
19100522-PCLOAK-PCLPOR-2,Pacific Coast League,1910-05-22,2,1910-SFE,Portland,a,1.0,Oakland,h,3.0,final,
19100522-PCLSAC-PCLSFS-0,Pacific Coast League,1910-05-22,0,1910-SFE,San Francisco,a,5.0,Sacramento,h,3.0,final,
19100524-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-24,0,1910-SFE,Los Angeles,a,1.0,San Francisco,h,5.0,final,
19100524-PCLOAK-PCLVER-0,Pacific Coast League,1910-05-24,0,1910-SFE,Oakland,a,6.0,Vernon,h,1.0,final,
19100524-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-24,0,1910-SFE,Sacramento,a,3.0,Portland,h,4.0,final,
19100525-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-25,0,1910-SFE,Los Angeles,a,2.0,San Francisco,h,0.0,final,
19100525-PCLOAK-PCLVER-0,Pacific Coast League,1910-05-25,0,1910-SFE,Oakland,a,4.0,Vernon,h,1.0,final,
19100525-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-25,0,1910-SFE,Sacramento,a,3.0,Portland,h,6.0,final,
19100526-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-26,0,1910-SFE,Los Angeles,a,8.0,San Francisco,h,2.0,final,
19100526-PCLOAK-PCLVER-0,Pacific Coast League,1910-05-26,0,1910-SFE,Oakland,a,1.0,Vernon,h,6.0,final,
19100526-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-26,0,1910-SFE,Sacramento,a,5.0,Portland,h,1.0,final,
19100527-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-27,0,1910-SFE,Los Angeles,a,3.0,San Francisco,h,11.0,final,
19100527-PCLOAK-PCLVER-0,Pacific Coast League,1910-05-27,0,1910-SFE,Oakland,a,5.0,Vernon,h,1.0,final,
19100527-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-27,0,1910-SFE,Sacramento,a,0.0,Portland,h,3.0,final,
19100528-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-28,0,1910-SFE,Los Angeles,a,1.0,San Francisco,h,2.0,final,
19100528-PCLOAK-PCLVER-0,Pacific Coast League,1910-05-28,0,1910-SFE,Oakland,a,3.0,Vernon,h,1.0,final,
19100528-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-28,0,1910-SFE,Sacramento,a,1.0,Portland,h,3.0,final,
19100529-PCLLAA-PCLSFS-1,Pacific Coast League,1910-05-29,1,1910-SFE,Los Angeles,a,8.0,San Francisco,h,4.0,final,
19100529-PCLLAA-PCLSFS-2,Pacific Coast League,1910-05-29,2,1910-SFE,Los Angeles,a,4.0,San Francisco,h,1.0,final,
19100529-PCLOAK-PCLVER-1,Pacific Coast League,1910-05-29,1,1910-SFE,Oakland,a,4.0,Vernon,h,5.0,final,
19100529-PCLOAK-PCLVER-2,Pacific Coast League,1910-05-29,2,1910-SFE,Oakland,a,4.0,Vernon,h,0.0,final,
19100529-PCLPOR-PCLSAC-0,Pacific Coast League,1910-05-29,0,1910-SFE,Sacramento,a,3.0,Portland,h,4.0,final,
19100530-PCLPOR-PCLSAC-1,Pacific Coast League,1910-05-30,1,1910-SFE,Sacramento,a,0.0,Portland,h,1.0,final,
19100530-PCLPOR-PCLSAC-2,Pacific Coast League,1910-05-30,2,1910-SFE,Sacramento,a,0.0,Portland,h,9.0,final,
19100606-PCLOAK-PCLSAC-0,Pacific Coast League,1910-06-06,0,1910-SFE,Oakland,a,0.0,Sacramento,h,1.0,final,
19100607-PCLLAA-PCLPOR-0,Pacific Coast League,1910-06-07,0,1910-SFE,Los Angeles,a,1.0,Portland,h,7.0,final,
19100607-PCLOAK-PCLSFS-0,Pacific Coast League,1910-06-07,0,1910-SFE,Oakland,a,4.0,San Francisco,h,0.0,final,
19100608-PCLLAA-PCLPOR-0,Pacific Coast League,1910-06-08,0,1910-SFE,Los Angeles,a,6.0,Portland,h,3.0,final,
19100608-PCLOAK-PCLSFS-0,Pacific Coast League,1910-06-08,0,1910-SFE,Oakland,a,2.0,San Francisco,h,6.0,final,
19100608-PCLSAC-PCLVER-0,Pacific Coast League,1910-06-08,0,1910-SFE,Sacramento,a,4.0,Vernon,h,5.0,final,
19100609-PCLLAA-PCLPOR-0,Pacific Coast League,1910-06-09,0,1910-SFE,Los Angeles,a,2.0,Portland,h,3.0,final,
19100609-PCLOAK-PCLSFS-0,Pacific Coast League,1910-06-09,0,1910-SFE,Oakland,a,10.0,San Francisco,h,7.0,final,
19100609-PCLSAC-PCLVER-0,Pacific Coast League,1910-06-09,0,1910-SFE,Sacramento,a,7.0,Vernon,h,3.0,final,
19100610-PCLLAA-PCLPOR-0,Pacific Coast League,1910-06-10,0,1910-SFE,Los Angeles,a,10.0,Portland,h,2.0,final,
19100610-PCLOAK-PCLSFS-0,Pacific Coast League,1910-06-10,0,1910-SFE,Oakland,a,1.0,San Francisco,h,3.0,final,
19100610-PCLSAC-PCLVER-0,Pacific Coast League,1910-06-10,0,1910-SFE,Sacramento,a,5.0,Vernon,h,6.0,final,
19100611-PCLOAK-PCLSFS-0,Pacific Coast League,1910-06-11,0,1910-SFE,Oakland,a,6.0,San Francisco,h,7.0,final,
19100611-PCLSAC-PCLVER-0,Pacific Coast League,1910-06-11,0,1910-SFE,Sacramento,a,0.0,Vernon,h,1.0,final,
19100612-PCLLAA-PCLPOR-0,Pacific Coast League,1910-06-12,0,1910-SFE,Los Angeles,a,1.0,Portland,h,4.0,final,
19100612-PCLOAK-PCLSFS-1,Pacific Coast League,1910-06-12,1,1910-SFE,Oakland,a,3.0,San Francisco,h,0.0,final,
