game.key,game.date,game.number,name.full
4a72da35-fca5-549c-97a8-824526fa6e80,1915-06-26,0,Jacobs
82e149dc-3882-5fe0-8fd2-426c1f794f58,1915-06-28,0,Carney
2f6378c4-cded-5dfa-95ee-fcc442d46b6d,1915-06-29,0,Carney
bca4a408-47ff-5d17-9405-f12e2133ed5f,1915-06-30,0,Carney
86bfd424-f7b1-5108-9611-30a89d924c10,1915-07-01,1,Landry
fa0cf894-1031-5816-bccb-0f286a5238cb,1915-07-01,2,Landry
fb173904-c5d9-58b6-8cba-ffb11f0c387f,1915-07-03,1,Landry
adbe5949-bc72-5066-9c56-752a001ef072,1915-07-03,2,Landry
dac836c1-64a5-59e0-8e06-7a89fd4210b2,1915-07-05,1,Robert Boese
dac836c1-64a5-59e0-8e06-7a89fd4210b2,1915-07-05,1,Bartoff
dac836c1-64a5-59e0-8e06-7a89fd4210b2,1915-07-05,1,Thomas
489434cb-4e71-53e7-ada5-5629ea157a02,1915-07-06,0,Landry
13f88eb2-e1a5-5e52-b6c7-fc2730d62a8a,1915-07-06,0,Jacobs
a42dd7a8-4ec2-5d72-82d2-766615dadb51,1915-07-06,0,Carney
03dc9d2d-7d33-5cba-8fae-3a4aa8d5211c,1915-07-07,0,Landry
25aae70b-afda-59ba-a95f-1e3983411da9,1915-07-07,0,Jacobs
f221f4b5-2840-5b58-9b82-125ebc31efc1,1915-07-07,1,Carney
409497ec-2cde-586f-8660-42309bbfc4d5,1915-07-07,2,Carney
0da47b3f-d356-503a-b2d6-450000237b74,1915-07-08,0,Jacobs
ed293b9a-41d5-57e3-9b5c-d8ffd44315d0,1915-07-08,0,Carney
17886704-befd-55e6-af74-e2d1eee042f5,1915-07-09,0,Jacobs
ee4ce966-2edc-5425-bedb-e8d54aeef2dd,1915-07-09,0,Landry
0396453d-880c-54f0-9d58-9fff2d6d214c,1915-07-10,0,Jacobs
c25a14cb-ad57-515d-8063-e6acceea868a,1915-07-10,0,Carney
d336f458-47df-5dac-8e3f-6b9435186b28,1915-07-12,1,Rhoades
d336f458-47df-5dac-8e3f-6b9435186b28,1915-07-12,1,Gervais
d11de426-569a-5cee-89e3-2c1531c6785b,1915-07-13,0,Carney
4e7fa936-e780-568f-96de-d111f40bab26,1915-07-13,0,Landry
f57404b9-3c8a-58c9-882f-41a8bc32924e,1915-07-13,0,Fox
4fa41174-6483-5b78-bc76-e86fab971c85,1915-07-14,0,Landry
8e71e361-01e8-5185-bf11-09f5615e11b7,1915-07-15,1,Carney
3f9f6fd6-7c06-5ae9-8056-7763484174e0,1915-07-15,2,Carney
41701da8-f5b8-5f5d-af8f-53da86b59577,1915-07-16,0,Landry
aede99ab-1323-5e6e-944f-924a459bc989,1915-07-16,0,Fox
744ff2ea-68ba-5edd-b226-05b7e19f6a60,1915-07-20,0,Landry
fafd6dd5-5daa-5bdd-af9c-0e05a5dd0100,1915-07-20,0,Fox
d6fbf1ff-7da1-5f42-b624-f2f395ebfc74,1915-07-21,1,Fox
da3f4783-f07d-507c-9d6a-8b2e14c8cd27,1915-07-21,2,Fox
6105ec2c-f27c-5a7b-aa9d-4505e2a3c7c2,1915-07-22,0,Fox
b062cee9-2f27-5e45-a564-0b7c6e50398a,1915-07-23,0,Carney
87ac2c7c-4e3d-5282-89fe-f91fd4df7691,1915-07-23,1,Fox
a91a1f9c-65c6-5372-b28d-ce470bd59217,1915-07-23,2,Fox
dbdc7ac5-903d-52fe-ad1a-fd1d086aef26,1915-07-24,1,Landry
1cbb8a0d-e99f-5506-8c54-273875fde284,1915-07-24,2,Landry
5ce5d304-45e5-5387-a847-b4f65bc2fd1d,1915-07-24,1,Fox
938f5dfb-8b0d-57a8-97bb-e59e18529b55,1915-07-24,2,Fox
b3811cbb-f5ee-5041-8c30-941f7685ad08,1915-07-24,0,Carney
ecee7cd1-e9cd-56b3-b940-4a683955e39f,1915-07-26,0,Carney
ad00cc5f-4164-57ca-8234-3c8d4e409a75,1915-07-28,2,Landry
32f23d4d-311a-5411-86c3-3fdffb5f4372,1915-07-31,0,Carney
112810ee-7c67-5c41-862b-72abf38ad79f,1915-08-26,0,Carney
