game.key,game.date,game.number,name.full
97cad3e5-14f0-545f-8526-f76f019ab261,1915-06-01,0,Jacobs
f165769d-cbda-5c83-8508-edde92bd3e50,1915-06-01,0,Carney
a3ffa7fa-cb80-5423-919c-33715b20477d,1915-06-02,0,Carney
d4e0af66-abc3-5280-8ec3-69eb6fdaf5fd,1915-06-02,0,Jacobs
493df2a9-f7f4-5760-b4ba-130c0a8f49ca,1915-06-02,0,Kennedy
2e828c82-b43a-5475-b4f0-91ef45546057,1915-06-03,0,Kennedy
821c977f-def6-5e3b-b7ec-4e4647049537,1915-06-03,0,Jacobs
b87bc6a9-d46c-5b9b-b6e4-72673e3978db,1915-06-03,0,Carney
58b9ffb1-4a9c-54d7-8f20-ca48b34f28f0,1915-06-04,0,Carney
98e32a74-c6cd-51e0-9411-d6b97621f240,1915-06-04,0,Jacobs
ad43624d-10ca-5149-8063-2a28f9240b5f,1915-06-04,0,Kennedy
d7960831-48ad-5d1f-a266-0948c2ac6b30,1915-06-05,0,Jacobs
12ac5683-647e-5dc9-9b09-51ac5101ab99,1915-06-06,1,Carney
b9b6fecf-5008-5da2-8793-4d6a86def1e1,1915-06-06,2,Carney
d59e995e-a0fb-5666-95e0-10d8c5ccdf5e,1915-06-06,0,Kennedy
42d5b4c1-23c5-5012-b7fd-7297eb814227,1915-06-07,0,Carney
f2cc73d9-79f0-5d62-978f-4cc819157344,1915-06-07,0,Jacobs
1ca01090-2a8c-574e-bb52-00719213a956,1915-06-09,1,Carney
e2828e2c-585a-5dfa-9c95-16a7263a4181,1915-06-09,2,Carney
440493ba-5244-5231-a9e5-24c90b69525d,1915-06-09,0,Jacobs
ca5cf4d4-1e4c-5ca8-beef-d3a2397d2fe2,1915-06-11,0,Jacobs
08010943-8cb3-568e-8000-8f321b6eddd6,1915-06-13,0,Jacobs
2a61b7c8-af01-568a-8ef4-81faa8168a58,1915-06-14,0,Jacobs
8de125ac-57ca-5324-a1da-f1f0759296f0,1915-06-14,1,Carney
36a57f38-c982-505d-8bfb-903c3f789245,1915-06-14,2,Carney
172eb753-240a-546b-89c1-a6b6e1a2eb7f,1915-06-15,0,Kennedy
7bd1f553-770b-5187-8cc4-1e4788c4ca43,1915-06-15,0,Jacobs
0107b2b7-bae9-5de8-9431-c8d61645317d,1915-06-15,0,Landry
9f533c99-47a9-5244-9129-cecaad706dc7,1915-06-16,0,Kennedy
72da0308-4f6b-5678-b907-9b5845660704,1915-06-16,0,Landry
744a1f34-5ae8-57e9-a635-0f98d3b7680c,1915-06-17,0,Kennedy
bafa35e8-2abc-5237-a58c-f3c6aab2426c,1915-06-17,0,Jacobs
f351f983-fe45-54da-9937-be515a23567c,1915-06-17,0,Landry
d3df99ee-61da-5468-9e4c-87a63adeb79c,1915-06-19,0,Landry
8de28e11-79f1-5ea0-87ba-0920671b3923,1915-06-19,0,Kennedy
ad123a39-1ff5-5cfd-87a2-528ca04d746a,1915-06-19,0,Carney
885e7db4-3092-5b40-9f52-def2546c1939,1915-06-20,0,Landry
f55bf45a-3c03-5941-aa4d-ae39852f883a,1915-06-20,0,Carney
0342fb05-333c-58c3-9c40-4b4470391564,1915-06-20,0,Kennedy
79e18018-2ea1-5ad5-b3aa-d0e6c51a3c01,1915-06-21,0,Landry
8f4f88dd-a95d-54bc-89e0-84a40280089f,1915-06-21,0,Carney
e00f22b1-9385-5769-ac9c-70afe2c3e6a0,1915-06-22,0,Landry
ee574808-1049-5913-a5e3-8acc5a8a83cb,1915-06-22,0,Carney
