game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
ZBWGQJF,1915,Florida-Alabama-Georgia League,1915-06-29,2,regular,P0929420,White,
VYVKXBB,1915,Florida-Alabama-Georgia League,1915-06-30,0,regular,P7127381,Stewart,
BCGQMDC,1915,Florida-Alabama-Georgia League,1915-06-30,0,regular,P2833764,LaRoque,
LJCBPRK,1915,Florida-Alabama-Georgia League,1915-07-01,1,regular,P7127381,Stewart,
MWBXQWG,1915,Florida-Alabama-Georgia League,1915-07-01,2,regular,P7127381,Stewart,
XXDRRQK,1915,Florida-Alabama-Georgia League,1915-07-01,1,regular,P0929420,White,
NTDLZJC,1915,Florida-Alabama-Georgia League,1915-07-01,2,regular,P0929420,White,
QZSCYQX,1915,Florida-Alabama-Georgia League,1915-07-01,1,regular,P2833764,LaRoque,
SNXSXDS,1915,Florida-Alabama-Georgia League,1915-07-01,2,regular,P2833764,LaRoque,
LBZBKRX,1915,Florida-Alabama-Georgia League,1915-07-02,0,regular,P0929420,White,
GXLGZXT,1915,Florida-Alabama-Georgia League,1915-07-02,0,regular,P7127381,Stewart,
TCTGPMR,1915,Florida-Alabama-Georgia League,1915-07-03,0,regular,P0929420,White,
GDGNTTZ,1915,Florida-Alabama-Georgia League,1915-07-03,0,regular,P7127381,Stewart,
LFTFJFH,1915,Florida-Alabama-Georgia League,1915-07-03,1,regular,P9539623,La Rocque,
CLYZZNW,1915,Florida-Alabama-Georgia League,1915-07-03,2,regular,P9539623,La Rocque,
CRBMKGJ,1915,Florida-Alabama-Georgia League,1915-07-05,1,regular,P7127381,Stewart,
QMMBRSC,1915,Florida-Alabama-Georgia League,1915-07-05,2,regular,P7127381,Stewart,
XKVDQNY,1915,Florida-Alabama-Georgia League,1915-07-05,1,regular,P0929420,White,
PVBNVTK,1915,Florida-Alabama-Georgia League,1915-07-05,2,regular,P0929420,White,
YMXGYCT,1915,Florida-Alabama-Georgia League,1915-07-05,1,regular,P4557895,LaRocque,
KTTFCKJ,1915,Florida-Alabama-Georgia League,1915-07-05,2,regular,P4557895,LaRocque,
LBMPMSV,1915,Florida-Alabama-Georgia League,1915-07-06,0,regular,P4557895,LaRocque,
KRRHPHS,1915,Florida-Alabama-Georgia League,1915-07-06,0,regular,P7127381,Stewart,
SGSJMRZ,1915,Florida-Alabama-Georgia League,1915-07-06,0,regular,P0929420,White,
MHSZKQF,1915,Florida-Alabama-Georgia League,1915-07-07,0,regular,P4557895,LaRocque,
SHTFYGJ,1915,Florida-Alabama-Georgia League,1915-07-07,0,regular,P7127381,Stewart,
FWZSYSX,1915,Florida-Alabama-Georgia League,1915-07-07,0,regular,P0929420,White,
DYTXDVW,1915,Florida-Alabama-Georgia League,1915-07-08,0,regular,P4557895,LaRocque,
YVDFDGJ,1915,Florida-Alabama-Georgia League,1915-07-08,0,regular,P7127381,Stewart,
HLLHVXV,1915,Florida-Alabama-Georgia League,1915-07-08,0,regular,P0929420,White,
BSYRSSW,1915,Florida-Alabama-Georgia League,1915-07-09,0,regular,P4557895,LaRocque,
RGKXWPJ,1915,Florida-Alabama-Georgia League,1915-07-09,0,regular,P7127381,Stewart,
RGYCRDH,1915,Florida-Alabama-Georgia League,1915-07-09,0,regular,P0929420,White,
XNFGTNB,1915,Florida-Alabama-Georgia League,1915-07-10,0,regular,P7127381,Stewart,
TYKDKXC,1915,Florida-Alabama-Georgia League,1915-07-10,0,regular,P7127381,Stewart,
TYKDKXC,1915,Florida-Alabama-Georgia League,1915-07-10,0,regular,P4489907,Spaugh,
GVJHMSS,1915,Florida-Alabama-Georgia League,1915-07-12,0,regular,P7127381,Stewart,
PBSJHCH,1915,Florida-Alabama-Georgia League,1915-07-12,0,regular,P0929420,White,
GBCBKLY,1915,Florida-Alabama-Georgia League,1915-07-12,0,regular,P4557895,LaRocque,
TXGWSJW,1915,Florida-Alabama-Georgia League,1915-07-13,0,regular,P0929420,White,
PZZYZCL,1915,Florida-Alabama-Georgia League,1915-07-13,0,regular,P2833764,LaRoque,
NLXFRVC,1915,Florida-Alabama-Georgia League,1915-07-13,0,regular,P1715572,Hill,
NLXFRVC,1915,Florida-Alabama-Georgia League,1915-07-13,0,regular,P2465926,Zaiden,
JMDGWQR,1915,Florida-Alabama-Georgia League,1915-07-14,0,regular,P3104381,Donohue,
FHFJCLB,1915,Florida-Alabama-Georgia League,1915-07-14,0,regular,P0929420,White,
RKWHBGS,1915,Florida-Alabama-Georgia League,1915-07-14,1,regular,P7750169,La Racque,
KRWMRRJ,1915,Florida-Alabama-Georgia League,1915-07-15,0,regular,P3104381,Donohue,
QVQFLSW,1915,Florida-Alabama-Georgia League,1915-07-15,0,regular,P4557895,LaRocque,
WRWVGDY,1915,Florida-Alabama-Georgia League,1915-07-15,0,regular,P0929420,White,
BKQCDLP,1915,Florida-Alabama-Georgia League,1915-07-16,0,regular,P0929420,White,
VRFMLXJ,1915,Florida-Alabama-Georgia League,1915-07-16,0,regular,P0928943,Donahue,
FXKYFYS,1915,Florida-Alabama-Georgia League,1915-07-16,0,regular,P4557895,LaRocque,
PJWNNHD,1915,Florida-Alabama-Georgia League,1915-07-17,1,regular,P0929420,White,
PQZTDZB,1915,Florida-Alabama-Georgia League,1915-07-17,2,regular,P0929420,White,
FRVLNKP,1915,Florida-Alabama-Georgia League,1915-07-17,1,regular,P0928943,Donahue,
KPJJNBW,1915,Florida-Alabama-Georgia League,1915-07-17,2,regular,P0928943,Donahue,
BNFSCQR,1915,Florida-Alabama-Georgia League,1915-07-17,1,regular,P1906089,LaRoche,
RCKQZVG,1915,Florida-Alabama-Georgia League,1915-07-17,2,regular,P1906089,LaRoche,
