team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Hopkins,,a04,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,McAvoy,,b09,ph
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,McAvoy,,b01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,McAvoy,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,McAvoy,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,McAvoy,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,McAvoy,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,McAvoy,,McEvery,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,McAvoy,,McEvoy,,a01,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,McAvoy,,McEvoy,,a09,ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,Naylor,,b03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Naylor,,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,Naylor,,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Naylor,,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Naylor,,a05,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,Naylor,,Naylor [Ard],,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,Naylor,,Naylor [Ard],,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,Naylor,,Naylor [Ard],,a03,rf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,,,Patterson,,a07,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,,,Patterson,,a01,ss-3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Patterson,,b09,lf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Patterson,,b06,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,Patterson,,b06,3b-c
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Patterson,,b06,ss-3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,Patterson,,b06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,Patterson,,b06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,Patterson,,b06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Patterson,,a06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,Patterson,,a06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Patterson,,a06,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Patterson,,a08,2b-3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,Reed,B.,Reed,,a10,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,Reed,B.,Reed,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,Reed,B.,Reed,,a08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,Reed,B.,Reed,[B.],b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,,,Scott,,a08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,Scott,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,Scott,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Scott,,a08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,Sullivan,,b04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Sullivan,,a04,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Sullivan,,a06,cf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,,,Towers,,a08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Towers,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Towers,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Towers,,a08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Towers,,a10,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,Woodward,,Woodard,,b00,2b-3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,Woodward,,Woodard,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,Woodward,,Woodard,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,,,Woodward,,a00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,,,Woodward,,a00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,,,Woodward,,a00,3b-lf
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Woodward,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,,,Woodward,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Woodward,,b00,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Woodward,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,Woodward,,b00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Woodward,,a00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,Woodward,,a00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Woodward,,a00,3b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Woodward,,a00,3b-ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Anderson,,a08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120430-TXOBON-TXOMCK-0,,,Anderson,,b08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120504-TXOBON-TXODEN-0,,,Anderson,,a08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120508-TXOBON-TXOGVL-0,,,Anderson,,b08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120427-TXOBON-TXOGVL-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120429-TXOBON-TXOMCK-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120430-TXOBON-TXOMCK-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120501-TXOBON-TXOMCK-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120502-TXOBON-TXODEN-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120503-TXOBON-TXODEN-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120504-TXOBON-TXODEN-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120505-TXOBON-TXODEN-0,,,Baker,,a00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120507-TXOBON-TXOGVL-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120508-TXOBON-TXOGVL-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120509-TXOBON-TXOGVL-0,,,Baker,,b00,lf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,Corzine,,Carzine,,a08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120502-TXOBON-TXODEN-0,,,Corzine,,a08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Corzine,,b08,p
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Lambert,,a02,cf
