key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
FKWJWSQ,1910-06-15,0,Central Kansas,regular,,Clay Center,1,,Abilene,6,,,1:25,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 16, 1909",0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,x,,
QCMMRNJ,1910-06-18,0,Central Kansas,regular,,Abilene,4,,Junction City,1,,,,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 20, 1910",0,1,1,0,1,0,0,1,0,,,0,0,0,0,0,0,0,0,1,,
RWJQXJS,1910-06-19,0,Central Kansas,regular,,Abilene,7,,Junction City,0,,,,,final,,,1910/1910-ADC/ADC-19100613.txt,"Abilene Daily Chronicle Jun 20, 1910",1,0,3,0,0,0,0,3,0,,,0,0,0,0,0,0,0,0,0,,
KNKWWTL,1910-06-20,0,Central Kansas,regular,,Abilene,1,,Concordia,5,,,2:00,,final,,,1910/1910-ADC/ADC-19100620.txt,"Abilene Daily Chronicle Jun 21, 1910",0,1,0,0,0,0,0,0,0,,,1,0,0,0,3,1,0,0,x,,
YHHKKDX,1910-06-24,0,Central Kansas,regular,,Abilene,3,,Beloit,1,,,1:30,,final,,,1910/1910-ADC/ADC-19100620.txt,"Abilene Daily Chronicle Jun 25, 1910",0,0,0,2,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,,
ZSJJTNP,1910-06-30,0,Central Kansas,regular,,Ellsworth,3,,Abilene,1,,,1:55,,final,,,1910/1910-ADC/ADC-19100627.txt,"Abilene Daily Chronicle Jun 30, 1910",0,3,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,,
FRVBVXK,1910-07-01,0,Central Kansas,regular,,Ellsworth,0,,Abilene,5,,,1:17,,final,,,1910/1910-ADC/ADC-19100627.txt,"Abilene Daily Chronicle Jul 2, 1910",0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,1,0,2,x,,
CTQSKMM,1910-07-12,0,Central Kansas,regular,,Salina,3,,Abilene,1,,,2:00,,final,,,1910/1910-ADC/ADC-19100711.txt,"Abilene Daily Chronicle Jul 13, 1910",0,0,2,0,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,,
ZBHZSBQ,1910-07-19,0,Central Kansas,regular,,Beloit,1,,Abilene,7,,,1:30,,final,,,1910/1910-ADC/ADC-19100718.txt,"Abilene Daily Chronicle Jul 20, 1910",0,0,0,0,0,0,0,0,1,,,0,0,0,0,4,1,2,0,x,,
KDDPQMC,1910-07-20,0,Central Kansas,regular,,Beloit,2,,Abilene,5,,,,,final,,,1910/1910-ADC/ADC-19100718.txt,"Abilene Daily Chronicle Jul 21, 1910",0,0,0,0,0,0,2,,,,,0,1,0,0,4,0,x,,,,
HWFDXNZ,1910-07-21,0,Central Kansas,regular,,Abilene,5,,Concordia,6,,,2:15,,final,,,1910/1910-ADC/ADC-19100718.txt,"Abilene Daily Chronicle Jul 21, 1910",4,0,0,0,0,0,1,0,0,,,1,0,0,2,0,0,0,0,3,,
DXWZPMB,1910-07-25,0,Central Kansas,regular,,Manhattan,3,,Abilene,4,,,1:35,,final,,,1910/1910-ADC/ADC-19100725.txt,"Abilene Daily Chronicle Jul 26, 1910",2,0,0,0,0,1,0,,,,,0,0,0,0,0,1,3,,,,
WQFZTMH,1910-07-26,1,Central Kansas,regular,,Manhattan,8,,Abilene,9,,,2:15,,final,,,1910/1910-ADC/ADC-19100725.txt,"Abilene Daily Chronicle Jul 27, 1910",0,1,1,1,2,0,1,1,1,,,1,1,1,0,1,0,0,0,5,,
JNLQKNW,1910-07-26,2,Central Kansas,regular,,Manhattan,0,,Abilene,5,,,1:00,,final,,,1910/1910-ADC/ADC-19100725.txt,"Abilene Daily Chronicle Jul 27, 1910",0,0,0,0,0,,,,,,,1,0,1,3,x,,,,,,
PVRSYCD,1910-07-27,0,Central Kansas,regular,,Manhattan,3,,Abilene,5,,,1:40,,final,,,1910/1910-ADC/ADC-19100725.txt,"Abilene Daily Chronicle Jul 28, 1910",0,2,0,0,0,1,0,,,,,0,3,0,0,2,0,x,,,,
KDJYGQP,1910-07-28,0,Central Kansas,regular,,Junction City,0,,Abilene,8,,,1:55,,final,,,1910/1910-ADC/ADC-19100725.txt,"Abilene Daily Chronicle Jul 29, 1910",0,0,0,0,0,0,0,0,0,,,1,3,0,2,0,2,0,0,x,,
FLJJJVF,1910-08-03,1,Central Kansas,regular,,Abilene,1,,Manhattan,2,,,,,final,,,1910/1910-ADC/ADC-19100801.txt,"Abilene Daily Chronicle Aug 4, 1910",0,1,0,0,0,0,0,0,0,,,0,0,0,0,2,0,0,0,x,,
GHHRVDM,1910-08-03,2,Central Kansas,regular,,Abilene,0,,Manhattan,9,,,,,final,,,1910/1910-ADC/ADC-19100801.txt,Abilene Daily Chronicle,,,,,,,,,,,,,,,,,,,,,,
KLWYRYH,1910-08-04,0,Central Kansas,regular,,Clay Center,0,,Abilene,9,,,,,final,,,1910/1910-ADC/ADC-19100801.txt,"Abilene Daily Chronicle Aug 5, 1910",,,,,,,,,,,,,,,,,,,,,,
KFBCCLW,1910-08-05,0,Central Kansas,regular,,Clay Center,1,,Abilene,10,,,,,final,,,1910/1910-ADC/ADC-19100801.txt,"Abilene Daily Chronicle Aug 6, 1910",0,0,0,0,0,0,1,0,0,,,3,0,0,0,2,0,1,4,x,,
NGZWZVR,1910-08-07,0,Central Kansas,regular,,Abilene,5,,Chapman,13,,,,,final,,,1910/1910-ADC/ADC-19100801.txt,"Abilene Daily Chronicle Aug 8, 1910",1,0,0,0,0,3,0,1,0,,,2,0,2,3,1,2,0,3,x,,
