key,date,number,league,away,away.score,home,home.score,A,T,status,status-reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
fa48e6a6-21de-5c4c-9923-a3e15810e6ed,1915-05-31,0,Buckeye,Findlay,3,Lima,8,1100,2:25,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",2,0,0,1,0,0,0,0,0,,,,,,,,2,0,0,0,4,2,0,0,x,,,,,,,
d6b4c478-8e06-5f54-b47b-6522d1bfad18,1915-05-31,1,Buckeye,Newark,,Marion,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fba2353e-7bd7-5db8-a1c9-ef699d91f0b6,1915-05-31,2,Buckeye,Newark,,Marion,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464aecad-5b40-56e2-adae-6f751ac9fdca,1915-06-01,0,Buckeye,Lima,6,Findlay,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 2, 1915",0,0,0,0,0,4,0,2,0,0,,,,,,,0,2,2,0,0,0,0,0,2,1,,,,,,
d5ea28a8-29c9-5b99-abd7-e76d595a6f9f,1915-06-02,0,Buckeye,Marion,,Akron,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4615fe4-7619-51e1-93b4-96d872c20500,1915-06-02,0,Buckeye,Newark,,Findlay,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807fc99c-2c9a-52f3-b9a5-9c4804468c36,1915-06-02,0,Buckeye,Canton,,Lima,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090aeefd-1ed0-5122-a10b-82c1c4ba02ad,1915-06-03,0,Buckeye,Marion,,Akron,,,,postponed,Canton insolvency,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0a0bc21-dbbb-5a21-b3e5-9d7d2211834a,1915-06-03,0,Buckeye,Newark,,Findlay,,,,postponed,Canton insolvency,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9963cb6-8278-5588-83fb-b1c361ab3a22,1915-06-03,0,Buckeye,Canton,,Lima,,,,postponed,Canton insolvency,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58b1c3d2-332e-5bc6-9982-b098abd712d4,1915-06-04,0,Buckeye,Canton,1,Findlay,10,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",0,0,1,0,0,0,0,0,0,,,,,,,,1,1,1,5,2,0,0,0,x,,,,,,,
d8aa578f-f80f-539e-ac0a-f4597e91bfe4,1915-06-04,0,Buckeye,Marion,,Lima,,,,postponed,Wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40b703bf-8037-5a4e-b8a2-f9e4cce49482,1915-06-04,0,Buckeye,Akron,2,Newark,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
fe416332-203a-5ad5-a2cb-c3975d8e3e97,1915-06-05,0,Buckeye,Canton,,Findlay,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24f022fd-1178-5500-93e1-5943de34127a,1915-06-05,1,Buckeye,Marion,4,Lima,1,800,2:05,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",0,1,0,0,1,0,2,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,
f8bfc601-8d96-53e0-8ea5-842b464fe7f3,1915-06-05,2,Buckeye,Marion,3,Lima,4,800,1:47,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",0,0,0,1,0,2,0,0,0,,,,,,,,0,1,0,1,0,0,0,1,1,,,,,,,
ed939a39-b005-5105-b930-a2c6feb3a42f,1915-06-05,0,Buckeye,Akron,,Newark,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27e42365-b06d-5ad4-9909-5804e638e76b,1915-06-06,1,Buckeye,Findlay,6,Akron,1,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,2,4,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,
ec47cfb1-1f3f-59ab-aaf3-ee8e646e7f21,1915-06-06,2,Buckeye,Findlay,0,Akron,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,0,,,,,,,,,,0,0,6,1,0,0,x,,,,,,,,,
50091838-5ba4-58f0-9b20-2246955c54ba,1915-06-06,0,Buckeye,Lima,1,Marion,7,,1:53,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,0,0,1,,,,,,,,2,0,4,0,0,1,0,0,x,,,,,,,
d2fb2094-ce81-53e3-b8f2-ab2ca17047b0,1915-06-06,1,Buckeye,Canton,3,Newark,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,1,0,0,1,1,0,,,,,,,,1,0,3,0,2,1,0,0,x,,,,,,,
9f9328f9-d078-50e5-851c-994ed1e59f41,1915-06-06,2,Buckeye,Canton,2,Newark,4,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,2,,,,,,,,,,0,0,1,0,3,0,x,,,,,,,,,
d1d9a902-6ce0-55b9-bf89-e279618f2a6e,1915-06-07,0,Buckeye,Findlay,,Akron,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951d292b-8242-521f-b096-3f3503bce6cf,1915-06-07,0,Buckeye,Lima,,Marion,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25530aeb-9f01-528e-b6be-1a4a90972885,1915-06-07,0,Buckeye,Canton,,Newark,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542a01b7-c20f-5f99-9abf-2794aae1a574,1915-06-08,0,Buckeye,Canton,2,Findlay,4,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",0,0,0,0,1,0,0,1,0,,,,,,,,1,2,0,0,0,0,0,1,x,,,,,,,
c99b9263-3887-5492-b3b8-aa363cd1837a,1915-06-08,0,Buckeye,Newark,,Lima,,,,postponed,wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945c2cf-be9b-554c-aadf-979a1c96b7bf,1915-06-08,0,Buckeye,Akron,4,Marion,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",0,2,0,2,0,0,0,0,0,,,,,,,,0,0,0,2,0,0,0,0,1,,,,,,,
414a0f64-8e9e-5d79-8764-4d3556bfe59c,1915-06-10,0,Buckeye,Canton,1,Lima,10,,1:50,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,0,1,0,0,0,0,0,0,,,,,,,,3,2,2,1,0,0,2,0,x,,,,,,,
