game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Richmond,,Findlay,p,9,2,0,,0,,,,,,,,,,,,,,,,,,,4,2,2,,,0,4,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Findlay,,,29,8,8,8,,,,,,,,,,,,4,,,,,,,,,,,,27,11,2,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Matthews,,Lima,rf,1,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Murray,,Lima,2b,2,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Malloy,,Lima,cf,3,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Schweitzer,,Lima,lf,4,2,2,,1,,,,,,,1,,,,,,,,,,,,,,,,,0,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,McClelland,,Lima,1b,5,3,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,8,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Cronin,,Lima,ss,6,4,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,0,2,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Warden,,Lima,3b,7,4,0,,1,,1,,,,,1,,,,,,,,,,,,,,,,,2,0,1,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Maroney,,Lima,c,8,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,10,2,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Reynolds,,Lima,p,9,3,0,,0,,,,,,,,,,,,,,,,,,,2,8,2,,,0,3,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Lima,,,33,7,6,7,,,,,,,,,,,,5,2,,,,,,,,,,,24,9,2,,,,
CWFKZLZ,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Akron,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWFKZLZ,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Canton,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,Barnhart,,Canton,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,McLaughlin,,Canton,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,Kirby,,Canton,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Canton,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,Leake,,Marion,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,Breymaier,,Marion,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Marion,,,,16,,15,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
