key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
YVFWDWQ,1915-05-17,0,New York State,regular,,Troy,,,Utica,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNMHTHK,1915-05-17,0,New York State,regular,,Binghamton,,,Wilkes-Barre,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRSDQWH,1915-05-18,0,New York State,regular,,Syracuse,2,,Binghamton,4,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 19, 1915",0,0,0,2,0,0,0,0,0,,,,,,,,,,,0,1,3,0,0,0,0,0,x,,,,,,,,,,
FVMFRTL,1915-05-18,0,New York State,regular,,Utica,5,,Elmira,6,,,1:45,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 19, 1915",2,0,1,0,0,0,0,0,2,,,,,,,,,,,1,1,1,3,0,0,0,0,x,,,,,,,,,,
DMJFLKR,1915-05-18,0,New York State,regular,,Wilkes-Barre,2,,Scranton,1,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 19, 1915",0,0,0,1,1,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,,
HKGYGMJ,1915-05-18,0,New York State,regular,,Albany,3,,Troy,4,,,1:55,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 19, 1915",1,0,0,0,1,0,0,1,0,,,,,,,,,,,0,0,0,0,0,0,3,1,x,,,,,,,,,,
CMLQWCP,1915-05-19,0,New York State,regular,,Troy,4,,Albany,3,,,1:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 20, 1915",0,0,0,0,0,0,3,1,x,,,,,,,,,,,1,0,0,0,1,0,0,1,0,,,,,,,,,,
DTTPTQF,1915-05-19,0,New York State,regular,,Syracuse,2,,Binghamton,8,,,1:50,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 20, 1915",2,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,2,1,0,0,4,x,,,,,,,,,,
FKCZTQZ,1915-05-19,0,New York State,regular,,Utica,9,,Elmira,4,,,1:30,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 20, 1915",1,0,2,2,0,1,2,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,4,,,,,,,,,,
HHKJMRN,1915-05-19,0,New York State,regular,,Wilkes-Barre,3,,Scranton,4,,,1:50,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 20, 1915",0,0,0,0,0,3,0,0,0,,,,,,,,,,,0,2,2,0,0,0,0,0,x,,,,,,,,,,
