key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
KQFYYPJ,1911-05-05,0,Central,regular,,Wheeling,2,,South Bend I,4,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,0,1,0,0,0,0,3,x,,,,,,,,,
BDTZPKJ,1911-05-06,0,Central,regular,,Evansville,3,,Dayton,2,,,2:05,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,2,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,2,0,0,,,,,,,,,
DFLTFLT,1911-05-06,0,Central,regular,,Terre Haute,4,,Fort Wayne,5,,,2:05,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,0,1,1,1,,,,,,,,,,0,0,0,2,0,0,0,3,x,,,,,,,,,
WPJTBMC,1911-05-06,0,Central,regular,,Zanesville,8,,Grand Rapids I,1,,,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,0,0,0,0,4,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,
LDPGJCQ,1911-05-06,0,Central,regular,,Wheeling,0,,South Bend I,3,,,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,0,0,0,2,0,0,x,,,,,,,,,
GPRFGQF,1911-05-07,0,Central,regular,,Evansville,3,,Dayton,5,,5000,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,Sporting Life Vol 57 Number 11 page 19,0,0,2,0,0,1,0,0,0,,,,,,,,,,0,0,1,0,4,0,0,0,x,,,,,,,,,
VHFCDSL,1911-05-07,0,Central,regular,,Terre Haute,11,,Fort Wayne,10,,,3:05,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,2,0,0,0,0,2,2,2,2,0,1,,,,,,,,0,1,0,1,3,0,1,3,1,0,0,,,,,,,
HTCQHVC,1911-05-07,0,Central,regular,,Zanesville,9,,Grand Rapids I,5,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,2,4,0,0,0,0,0,3,,,,,,,,,,0,0,2,1,0,2,0,0,0,,,,,,,,,
DZSMYGG,1911-05-07,0,Central,regular,,Wheeling,4,,South Bend I,1,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,4,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,
PBKPDHJ,1911-05-08,0,Central,regular,,Terre Haute,1,,Dayton,6,,,1:55,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,3,0,1,1,0,1,0,x,,,,,,,,,
