key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
28724a71-27df-59c2-8bf1-ebfff27a1b04,1911-05-03,2,Central,,South Bend I,2,,Evansville,3,,,1:15,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,0,0,0,0,1,,,,,,,,,,,,0,0,0,1,0,1,1,,,,,,,,,,,
091f9884-041b-572d-9b36-5b6d1c5d7b95,1911-05-03,0,Central,,Grand Rapids I,5,,Terre Haute,8,,,1:45,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,1,0,4,,,,,,,,,,,2,2,0,1,2,1,0,x,,,,,,,,,,
b4f5bbc3-a4c3-5152-b88e-ead54fadb4aa,1911-05-03,1,Central,,Dayton,4,,Wheeling,1,,,1:15,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,2,0,0,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,
da0eadf4-6981-5531-aaad-6ee25022b699,1911-05-03,2,Central,,Dayton,4,,Wheeling,4,,,1:30,,completed-early,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,0,3,0,,,,,,,,,,,0,1,1,0,1,1,0,0,,,,,,,,,,
cf005b7b-2478-5d07-9f74-9e90732c3773,1911-05-03,0,Central,,Fort Wayne,2,,Zanesville,1,,,1:30,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,1,0,1,0,,,,,,,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,
6092f603-3383-5f5d-8cec-66d721ede2d8,1911-05-04,0,Central,,Evansville,2,,Dayton,3,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,1,0,1,,,,,,,,,,
2cec8237-b387-5145-a3b0-db46cc0f6253,1911-05-04,0,Central,,Terre Haute,2,,Fort Wayne,3,,2904,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,0,0,0,1,0,0,2,x,,,,,,,,,
70a9f2d3-fc45-55b3-b0fe-aea97457582f,1911-05-04,0,Central,,Zanesville,2,,Grand Rapids I,11,,1900,1:45,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,1,0,0,0,1,0,0,0,,,,,,,,,,4,0,0,4,0,3,0,0,x,,,,,,,,,
17727240-6871-5b1f-9419-a6a565a326ae,1911-05-04,0,Central,,Wheeling,4,,South Bend I,3,,2500,1:35,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,1,0,0,0,0,0,2,,,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,
17107b30-73c7-5fda-9d26-98958c6a90bd,1911-05-05,0,Central,,Evansville,2,,Dayton,12,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,,,,,,,,,,,2,3,2,0,0,1,4,0,x,,,,,,,,,
