key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
0805f2d6-942f-50e1-a23f-e74229a8e2ef,1915-05-08,0,Rio Grande Association,,Tucson,1,,Phoenix,3,,500,1:45,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 9, 1915",0,0,0,0,0,0,0,1,0,,,,,1,1,0,1,0,0,0,0,x,,,,
e3fd7de0-d8db-55c7-b68f-07aa78542c89,1915-05-09,1,Rio Grande Association,,Douglas,4,,Albuquerque,6,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 10, 1915",0,0,0,1,1,0,0,2,0,,,,,2,0,0,2,1,0,1,0,x,,,,
3dd98e31-4c4e-50de-bbcc-b4db0f6f2cd7,1915-05-09,2,Rio Grande Association,,Douglas,9,,Albuquerque,5,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 10, 1915",2,0,7,0,0,,,,,,,,,4,0,1,0,0,,,,,,,,
06b0ed12-e863-5e51-a876-72bade4cbed3,1915-05-09,1,Rio Grande Association,,Las Cruces,,,El Paso,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
a9307344-3613-58ed-bf3c-705d333852ef,1915-05-09,2,Rio Grande Association,,Las Cruces,,,El Paso,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 10, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
99be2e05-2df4-5890-bc81-03ac1b6df212,1915-05-09,0,Rio Grande Association,,Tucson,6,,Phoenix,7,,1000,2:15,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 10, 1915",0,0,0,0,0,1,0,5,0,,,,,3,0,0,0,0,1,0,3,x,,,,
59ad6c08-bdac-5a49-82a6-f676efdfc54d,1915-05-11,0,Rio Grande Association,,Las Cruces,4,,Albuquerque,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 12, 1915",1,0,1,0,3,0,0,0,0,,,,,0,3,2,0,1,0,2,0,x,,,,
b68d3939-3950-51ec-832d-8f493c33830a,1915-05-11,0,Rio Grande Association,,Douglas,12,,El Paso,13,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 12, 1915",0,0,10,0,0,0,0,1,1,,,,,0,3,2,0,0,0,1,3,4,,,,
bd3ffe57-22fd-5a91-8086-5477477ce042,1915-05-12,0,Rio Grande Association,,Las Cruces,5,,Albuquerque,12,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 13, 1915",0,0,4,1,0,0,0,0,0,,,,,0,5,0,0,6,0,1,0,x,,,,
2350b10e-4486-561b-a68c-f4b682567fbe,1915-05-12,0,Rio Grande Association,,Douglas,4,,El Paso,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 13, 1915",0,0,0,0,0,1,0,3,0,,,,,0,0,0,0,0,1,6,1,x,,,,
6c0f5785-496e-58bf-9216-b35da27be59c,1915-05-13,0,Rio Grande Association,,Las Cruces,12,,Albuquerque,21,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 14, 1915",0,0,2,2,5,1,2,0,0,,,,,1,1,0,14,2,1,0,2,x,,,,
525f8eb4-17a7-5773-9b8e-b0b7b98d0382,1915-05-13,0,Rio Grande Association,,Douglas,5,,El Paso,6,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 14, 1915",0,0,0,0,4,0,1,0,0,0,,,,1,0,0,0,0,1,0,0,3,1,,,
b42582cc-4183-5c3d-9469-08b98188c24c,1915-05-14,0,Rio Grande Association,,Las Cruces,5,,Albuquerque,7,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 15, 1915",1,3,0,0,0,0,0,1,0,,,,,1,3,1,2,0,0,0,0,x,,,,
27ea8daf-8a65-5fac-8303-c320652abc55,1915-05-15,0,Rio Grande Association,,Las Cruces,6,,Albuquerque,4,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 16, 1915",0,0,1,0,1,1,3,0,0,,,,,2,0,0,0,1,0,1,0,0,,,,
5dcfadcf-36c7-5d9e-9ec1-ab5c7251a228,1915-05-15,0,Rio Grande Association,,Douglas,3,,El Paso,7,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 16, 1915",0,0,1,0,0,0,0,2,0,,,,,2,0,4,0,1,0,0,0,x,,,,
c9cb3a85-af45-50c9-98a5-8b41976e685a,1915-05-15,0,Rio Grande Association,,Phoenix,4,,Tucson,15,,,2:00,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 16, 1915",2,0,0,0,1,1,0,0,0,,,,,1,0,2,0,1,5,5,1,x,,,,
9e930d3c-8ac9-5da6-ab68-05b11ce5861d,1915-05-16,0,Rio Grande Association,,Las Cruces,8,,Albuquerque,9,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 17, 1915",1,0,0,0,0,0,0,5,2,,,,,0,0,0,1,1,1,0,1,5,,,,
fa4d8c08-de49-5bfe-859f-229df4e388e5,1915-05-16,1,Rio Grande Association,,Douglas,2,,El Paso,9,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 17, 1915",0,0,0,0,0,0,0,2,0,,,,,1,0,0,0,0,1,6,1,x,,,,
fe21439e-d9d0-5545-aea7-e85b17399f63,1915-05-16,2,Rio Grande Association,,Douglas,4,,El Paso,0,,,,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 17, 1915",0,0,0,0,1,3,0,,,,,,,0,0,0,0,0,0,0,,,,,,
2ae483bf-1051-59ee-ad22-113e159b0459,1915-05-16,1,Rio Grande Association,,Phoenix,5,,Tucson,6,,,2:00,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 17, 1915",0,1,3,0,0,0,0,1,0,0,,,,0,0,3,1,1,0,0,0,0,1,,,
49355154-bf47-5a70-a8c2-332ff47b76e9,1915-05-16,2,Rio Grande Association,,Phoenix,5,,Tucson,0,,,1:45,,,,transcript/1915/1915-AR/boxes/AR-19150510.txt,"Arizona Republic, May 17, 1915",0,0,0,0,3,0,0,2,0,,,,,0,0,0,0,0,0,0,0,0,,,,
39c20480-377e-5d2f-9d16-6b4ed8d54e39,1915-05-18,0,Rio Grande Association,,El Paso,13,,Douglas,10,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 19, 1915",2,0,1,0,0,4,2,4,0,,,,,2,1,0,0,0,0,0,7,0,,,,
8c1eb342-d785-58bf-bb8b-a7f7d33dd537,1915-05-18,0,Rio Grande Association,,Phoenix,,,Las Cruces,,,,,,postponed,high wind,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 19, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
32ecd029-b448-5703-bdf8-06688fc775e0,1915-05-18,0,Rio Grande Association,,Albuquerque,6,,Tucson,5,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 19, 1915",0,0,2,0,0,0,1,0,0,2,0,1,,0,0,0,0,2,1,0,0,0,2,0,0,
9bc7d987-68f9-574e-b815-20314dede754,1915-05-19,0,Rio Grande Association,,El Paso,9,,Douglas,14,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 20, 1915",4,0,0,1,1,3,0,0,0,,,,,1,2,5,1,2,1,2,0,x,,,,
6c9bcad9-f6d7-50a0-accb-bd625a91c358,1915-05-19,0,Rio Grande Association,,Phoenix,5,,Las Cruces,2,,,1:50,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 20, 1915",0,0,3,1,0,0,1,0,0,,,,,0,0,2,0,0,0,0,0,0,,,,
41d8e355-093b-5a1d-bdd3-56ed8b804723,1915-05-19,0,Rio Grande Association,,Albuquerque,5,,Tucson,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 20, 1915",0,5,0,0,0,0,0,0,0,,,,,0,1,1,1,0,0,0,5,x,,,,
