key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
KJDKFTY,1915-06-11,0,Blue Ridge,regular,,Hanover,2,,Hagerstown,1,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 12, 1915",0,0,0,0,1,0,1,0,0,,1,0,0,0,0,0,0,0,0,
JQSGLJT,1915-06-11,0,Blue Ridge,regular,,Gettysburg,1,,Martinsburg,8,,,,,final,,,1915/1915-PI/PI-19150607.txt,"Philadelphia Inquirer, June 12, 1915",0,0,0,0,0,1,0,0,0,,1,0,0,2,5,0,0,0,x,
GZKHHYH,1915-06-14,0,Blue Ridge,regular,,Martinsburg,3,,Chambersburg,5,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 15, 1915",0,0,0,0,0,0,2,1,0,,0,0,2,1,0,1,0,1,x,
NFJCSSS,1915-06-14,0,Blue Ridge,regular,,Hagerstown,0,,Gettysburg,5,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 15, 1915",0,0,0,0,0,0,0,0,0,,0,0,0,0,1,2,1,1,x,
FTZPBKX,1915-06-14,0,Blue Ridge,regular,,Frederick,2,,Hanover,0,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 15, 1915",0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
PWHJCMD,1915-06-15,0,Blue Ridge,regular,,Martinsburg,6,,Chambersburg,0,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 16, 1915",2,0,1,2,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
DSGWNLD,1915-06-16,0,Blue Ridge,regular,,Frederick,4,,Gettysburg,3,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 17, 1915",0,1,0,1,1,1,0,0,0,,1,0,0,0,0,0,0,1,1,
FHBVHJB,1915-06-16,0,Blue Ridge,regular,,Hagerstown,0,,Hanover,4,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 17, 1915",0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,1,0,x,
JKWMZGS,1915-06-16,0,Blue Ridge,regular,,Chambersburg,0,,Martinsburg,8,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 17, 1915",0,0,0,0,0,0,0,0,0,,0,1,2,1,1,3,0,2,x,
XRMGRLY,1915-06-17,0,Blue Ridge,regular,,Hagerstown,0,,Hanover,1,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 18, 1915",0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,x,
VYSGTBR,1915-06-17,0,Blue Ridge,regular,,Chambersburg,4,,Martinsburg,10,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 18, 1915",0,0,0,0,1,1,0,2,0,,3,0,2,0,0,3,2,0,x,
MKQCPJY,1915-06-18,0,Blue Ridge,regular,,Hagerstown,5,,Chambersburg,4,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 19, 1915",0,0,0,1,2,1,0,0,1,,0,0,3,1,0,0,0,0,0,
PXKBVZM,1915-06-18,0,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,postponed,rain,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 19, 1915",,,,,,,,,,,,,,,,,,,,
XHRPZMR,1915-06-18,0,Blue Ridge,regular,,Gettysburg,8,,Hanover,7,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 19, 1915",1,0,0,0,1,0,2,0,4,,0,0,0,0,0,6,0,0,1,
DZXDCSD,1915-06-19,0,Blue Ridge,regular,,Hagerstown,5,,Chambersburg,2,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 20, 1915",0,0,0,5,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,
KRLXBPS,1915-06-19,1,Blue Ridge,regular,,Martinsburg,1,,Frederick,2,,,,,final,,#1,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 20, 1915",0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,
QPXCQYX,1915-06-19,2,Blue Ridge,regular,,Martinsburg,3,,Frederick,3,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 20, 1915",0,0,0,0,3,0,,,,,0,1,1,0,1,0,,,,
DZYLGBB,1915-06-19,0,Blue Ridge,regular,,Gettysburg,3,,Hanover,7,,,,,final,,,1915/1915-PI/PI-19150614.txt,"Philadelphia Inquirer, June 20, 1915",1,0,0,0,0,0,0,1,1,,2,0,2,2,1,0,0,0,x,
VHYTXWH,1915-07-01,0,Blue Ridge,regular,,Chambersburg,3,,Hanover,7,,,,,final,,,1915/1915-PI/PI-19150628.txt,"Philadelphia Inquirer, July 2, 1915",2,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,x,
RSVHJKL,1915-07-03,0,Blue Ridge,regular,,Chambersburg,1,,Frederick,6,,,,,final,,,1915/1915-PI/PI-19150628.txt,"Philadelphia Inquirer, July 4, 1915",0,0,0,0,0,0,0,1,0,,0,3,0,1,0,2,0,0,x,
PDYLPJC,1915-07-03,0,Blue Ridge,regular,,Hanover,6,,Martinsburg,2,,,,,final,,,1915/1915-PI/PI-19150628.txt,"Philadelphia Inquirer, July 4, 1915",0,0,0,3,3,0,0,0,0,,0,0,1,1,0,0,0,0,0,
ZZXYKZQ,1915-07-07,0,Blue Ridge,regular,,Martinsburg,3,,Chambersburg,2,,,,,final,,,1915/1915-PI/PI-19150705.txt,"Philadelphia Inquirer, July 8, 1915",0,0,0,0,0,1,0,0,2,,1,0,0,0,0,0,0,1,0,
HJFLWNV,1915-07-10,0,Blue Ridge,regular,,Chambersburg,9,,Martinsburg,10,,,,,final,,#1,1915/1915-PI/PI-19150705.txt,"Philadelphia Inquirer, July 11, 1915",0,0,0,2,2,0,2,0,3,0,0,1,0,0,1,0,3,1,3,1
DMRCYWC,1915-07-31,0,Blue Ridge,regular,,Martinsburg,3,,Chambersburg,5,,,,,final,,,1915/1915-PI/PI-19150726.txt,"Philadelphia Inquirer, August 1, 1915",1,0,2,0,0,0,0,0,0,,0,0,4,0,0,0,1,0,x,
FFRDDZS,1915-08-02,0,Blue Ridge,regular,,Chambersburg,4,,Martinsburg,13,,,1:45,,final,,,1915/1915-PI/PI-19150802.txt,"Philadelphia Inquirer, August 3, 1915",3,0,0,0,0,0,0,0,1,,6,4,0,3,0,0,0,0,x,
RZLCNBZ,1915-08-21,0,Blue Ridge,regular,,Chambersburg,2,,Frederick,3,,,,,final,,,1915/1915-PI/PI-19150816.txt,"Philadelphia Inquirer, August 22, 1915",0,0,2,0,0,0,0,0,,,0,0,0,1,1,0,1,x,,
VQQYKML,1915-08-23,0,Blue Ridge,regular,,Martinsburg,6,,Chambersburg,3,,,1:50,,final,,,1915/1915-PI/PI-19150823.txt,"Philadelphia Inquirer, August 24, 1915",1,1,0,1,0,1,0,0,2,,0,0,0,1,0,0,1,1,0,
