key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
da28adf5-c2f6-5c6c-aa09-aaf04d403000,1908-04-14,0,Cotton States,,Monroe,3,,Meridian,0,,,1:25,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 15, 1908",0,1,0,2,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
34c84094-9d46-5f3b-a7b3-b47317039ba2,1908-04-14,0,Cotton States,,Jackson,,,Vicksburg,,,,,,postponed,rain,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 15, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7886a07a-f7ce-5cb6-9678-b23cb5385063,1908-04-15,0,Cotton States,,Columbus,,,Gulfport,,,,,,postponed,rain; wet grounds,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 16, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9330eb53-ce83-58de-8d2d-1a661a3a4a3b,1908-04-15,0,Cotton States,,Monroe,1,,Meridian,3,,,1:37,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 16, 1908",0,0,0,0,0,1,0,0,0,,,,,,,,0,0,0,0,2,1,0,0,x,,,,,,,
352bb4e7-7960-58d3-bf7b-d5ab6a4a392b,1908-04-15,0,Southern Association,,Nashville,,,Atlanta,,,,,,postponed,rain,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 16, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6ce817e-43a2-5f68-b94a-8d306e21889f,1908-04-15,0,Southern Association,,Birmingham,,,Montgomery,,,,,,postponed,rain,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 16, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2f401bed-3231-5b0a-8e35-42977b6340fe,1908-04-15,0,Southern Association,,Mobile,2,,New Orleans,3,,,2:40,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 16, 1908",0,0,0,1,0,0,1,0,0,0,0,0,,,,,0,1,0,0,0,0,0,0,1,0,0,1,,,,
38b63b34-2ed7-5115-8880-cb97a81ff93d,1908-04-16,0,Cotton States,,Meridian,0,,Columbus,0,,,,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 17, 1908",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
9d1abed9-3aac-532d-8a56-b4be632c057f,1908-04-16,0,Cotton States,,Jackson,2,,Vicksburg,3,,,,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 17, 1908",0,0,0,0,0,0,0,0,2,,,,,,,,0,0,0,3,0,0,0,0,x,,,,,,,
87c00f1d-59cd-560b-8ce4-81d6f175afc5,1908-04-16,0,Southern Association,,Nashville,1,,Atlanta,3,,,,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 17, 1908",0,1,0,0,0,0,0,0,0,,,,,,,,2,1,0,0,0,0,0,0,x,,,,,,,
