game.key,game.date,game.number,game.phase,name.full
BSFNBNP,1915-07-05,0,regular,Buckley
ZWCPPBH,1915-07-05,1,regular,Finnell
QRLDKJN,1915-07-05,2,regular,Finnell
LLCNGKG,1915-07-05,1,regular,Waters
GMKJZKS,1915-07-05,2,regular,Waters
XGLHSZX,1915-07-05,0,regular,McGauley
MCQJCTT,1915-07-06,0,regular,Buckley
SGFJFCP,1915-07-06,0,regular,Finnell
NVMJCJK,1915-07-06,0,regular,McGauley
XCDPMRR,1915-07-06,0,regular,Waters
WHSVYNM,1915-07-07,0,regular,Buckley
DDXZFVP,1915-07-07,0,regular,McGauley
QRYHFHD,1915-07-07,0,regular,Finnell
JPGQXSL,1915-07-07,0,regular,Waters
CJWFFBR,1915-07-09,1,regular,Waters
GJQWVKJ,1915-07-09,2,regular,Waters
BNLZRDX,1915-07-09,0,regular,Buckley
PLGTRFD,1915-07-09,0,regular,McAuley
XNNCBFT,1915-07-09,1,regular,Finnell
NSPSYNB,1915-07-09,2,regular,Finnell
JPTBZTQ,1915-07-10,1,regular,McAuley
JBRWKLR,1915-07-10,2,regular,McAuley
FHKBQJD,1915-07-10,1,regular,Buckley
MZXHZSW,1915-07-10,2,regular,Buckley
RNSSTKH,1915-07-10,1,regular,Waters
GMMMLDD,1915-07-10,2,regular,Waters
VWXQRHG,1915-07-10,1,regular,Finnell
GVKVYVM,1915-07-10,2,regular,Finnell
BDDSDDJ,1915-07-12,0,regular,McGauley
RLWYVJD,1915-07-12,0,regular,Waters
SBPMDBN,1915-07-13,0,regular,McGauley
BFJHVBR,1915-07-13,0,regular,Waters
XNZPDGK,1915-07-13,0,regular,Buckley
MYVTCZL,1915-07-14,0,regular,McGauley
LKLMHGJ,1915-07-14,1,regular,Buckley
YBZVTLG,1915-07-14,2,regular,Buckley
NTSLZRD,1915-07-14,0,regular,Waters
SDGLFBT,1915-07-15,0,regular,Buckley
TXWDSHF,1915-07-15,0,regular,McGauley
BHNMYBQ,1915-07-15,0,regular,Water
QVCKKQY,1915-07-16,0,regular,Buckley
DWYGCXP,1915-07-16,0,regular,Waters
XNZGDNS,1915-07-16,0,regular,McGauley
GHDKMQP,1915-07-17,1,regular,Buckley
ZTKRBNC,1915-07-17,2,regular,Buckley
JRMLNKM,1915-07-17,1,regular,McGauley
RJHLPSD,1915-07-17,2,regular,McGauley
PNYYRQH,1915-07-17,1,regular,Waters
JMSZKDJ,1915-07-17,2,regular,Waters
QBGRRBF,1915-07-19,0,regular,Finnell
QQHFPNP,1915-07-20,1,regular,Peters
QQHFPNP,1915-07-20,1,regular,Billiard
GMDZJZJ,1915-07-20,2,regular,Billiard
GMDZJZJ,1915-07-20,2,regular,Benson
GMDZJZJ,1915-07-20,2,regular,Trautman
LLGKJVG,1915-07-20,0,regular,McGauley
QDMQNXP,1915-07-20,0,regular,Bulkley
JNMQWXL,1915-07-21,1,regular,Buckley
CRWTHSN,1915-07-21,2,regular,Buckley
SZBLFJN,1915-07-21,0,regular,McGauley
ZBBQHQT,1915-07-22,1,regular,Waters
FWHXLRQ,1915-07-22,2,regular,Waters
YXJHMBL,1915-07-22,0,regular,Finnell
QNWMXMX,1915-07-22,0,regular,Buckley
YGYSDRW,1915-07-23,0,regular,Waters
BHYRTQT,1915-07-23,0,regular,Finnell
DFXDWKB,1915-07-23,0,regular,Buckley
MZYQYNH,1915-07-24,1,regular,Waters
DHBDNZR,1915-07-24,2,regular,Waters
HFLBLYL,1915-07-24,1,regular,Finnell
PNZMHRB,1915-07-24,2,regular,Finnell
KYQVKJL,1915-07-24,1,regular,Buckley
DFLKGQL,1915-07-24,2,regular,Buckley
JPNHGWG,1915-07-26,0,regular,Waters
RBNHSZL,1915-07-26,0,regular,Buckley
QCWFJJR,1915-07-26,0,regular,Finnell
GMSXNPN,1915-07-27,0,regular,Waters
TTSBHBR,1915-07-27,0,regular,Buckley
CLWKGCY,1915-07-27,0,regular,Finnell
BFXVVXG,1915-07-28,0,regular,Waters
NLHBZQP,1915-07-28,1,regular,Finnell
FCDQSSR,1915-07-28,2,regular,Finnell
FDGWRMV,1915-07-28,0,regular,Buckley
HYPLHVM,1915-07-29,1,regular,Buckley
VKMDJLL,1915-07-29,2,regular,Buckley
PTWQGRV,1915-07-29,0,regular,Waters
DWSDSCM,1915-07-29,0,regular,Finnell
CLGKPTL,1915-07-30,0,regular,Devinney
CLGKPTL,1915-07-30,0,regular,Buckley
CQTHPKV,1915-07-30,0,regular,Finnell
GWPBCRY,1915-07-30,0,regular,Waters
GYTXWJC,1915-07-31,1,regular,Buckley
RQFHPMF,1915-07-31,2,regular,Buckley
PXLXDDD,1915-07-31,1,regular,Finnell
PCQWDMS,1915-07-31,2,regular,Finnell
LQGDWSZ,1915-08-02,0,regular,Buckley
QYSQJFG,1915-08-02,0,regular,Waters
BRCWWTQ,1915-08-03,1,regular,Finnell
FPRYPTL,1915-08-03,2,regular,Finnell
NFYJNRT,1915-08-05,1,regular,Buckley
BVZMXLK,1915-08-05,2,regular,Buckley
PYMSBSJ,1915-08-06,1,regular,Waters
KQCSPJB,1915-08-06,2,regular,Waters
XLDQHSN,1915-08-06,0,regular,Buckley
ZWVDPVZ,1915-08-06,0,regular,Devron
GJXTWMV,1915-08-07,1,regular,Waters
HTXTCFC,1915-08-07,2,regular,Waters
JGDYWMT,1915-08-07,1,regular,Buckley
RHJGYMJ,1915-08-07,2,regular,Buckley
SSXTDPV,1915-08-07,1,regular,Finnell
HXJCYGL,1915-08-07,2,regular,Finnell
BKFFBLD,1915-08-09,0,regular,Waters
GCWLMML,1915-08-09,0,regular,Finnell
XHJZJCK,1915-08-09,0,regular,Buckley
LTRJWRD,1915-08-10,0,regular,Waters
SKKYTYS,1915-08-10,0,regular,Buckley
GGPDWNL,1915-08-10,0,regular,Fennell
VFJRHNR,1915-08-11,0,regular,Waters
RTRPNCS,1915-08-11,0,regular,Buckley
JLWKGTX,1915-08-11,1,regular,Finnell
XQKFMVH,1915-08-11,2,regular,Finnell
GTSQTGP,1915-08-12,1,regular,Buckley
ZSQFDRY,1915-08-12,2,regular,Buckley
NKCZRRL,1915-08-12,0,regular,Waters
JMQNJPJ,1915-08-12,0,regular,Finnell
PLRHWLY,1915-08-13,0,regular,Buckley
CSRRRBQ,1915-08-13,0,regular,Waters
YJGNYGV,1915-08-13,0,regular,Finnell
XNFWGGT,1915-08-14,1,regular,Buckley
GCFRPRP,1915-08-14,2,regular,Buckley
XTBJNRP,1915-08-14,1,regular,Finnell
QMPVTFX,1915-08-16,0,regular,Waters
NDFXDGP,1915-08-16,0,regular,Finnell
DBQJXWQ,1915-08-16,0,regular,Buckley
VWJGRNC,1915-08-17,0,regular,Waters
QPNSLPR,1915-08-17,0,regular,Finnell
MBFXPQJ,1915-08-17,0,regular,Buckley
GVNKRXF,1915-08-18,0,regular,Waters
NVXTWFP,1915-08-18,1,regular,Finnell
KNSYGPS,1915-08-18,2,regular,Finnell
MJYMSLF,1915-08-18,0,regular,Buckley
GCXNDFD,1915-08-19,0,regular,Buckley
RYGSLBJ,1915-08-19,0,regular,Finnell
YFMJYVD,1915-08-19,1,regular,Waters
YXCNSTS,1915-08-19,2,regular,Waters
QTXWHKY,1915-08-20,0,regular,Buckley
JYXDZSZ,1915-08-20,0,regular,Waters
RBSYBLX,1915-08-20,0,regular,Finnell
ZHLJMMH,1915-08-21,1,regular,Buckley
NWTWWYP,1915-08-21,2,regular,Buckley
YMXQDCH,1915-08-21,1,regular,Waters
WHPHBHF,1915-08-21,2,regular,Waters
QYCZVXD,1915-08-21,1,regular,Finnell
SVSKLSY,1915-08-21,2,regular,Finnell
HXWDMCC,1915-08-23,0,regular,Waters
PLVSTRY,1915-08-23,0,regular,Finnell
CKPLXWX,1915-08-23,0,regular,Buckley
GZPHQKM,1915-08-24,0,regular,Waters
PCFLCYQ,1915-08-24,1,regular,Finnell
GYZRXWY,1915-08-24,2,regular,Finnell
WKNJTMF,1915-08-24,0,regular,Buckley
DRXHYQC,1915-08-25,0,regular,Waters
FXTWTCT,1915-08-25,0,regular,Finnell
GGGCHXQ,1915-08-25,0,regular,Buckley
RFFFJPK,1915-08-26,0,regular,Waters
LYWKRDC,1915-08-26,0,regular,Buckley
KTNYPGX,1915-08-26,0,regular,Finnell
WGSLRZG,1915-08-27,0,regular,Waters
HMCBBTP,1915-08-27,0,regular,Buckley
ZNMGRGY,1915-08-27,0,regular,Finnell
FBJWJTH,1915-08-28,1,regular,Waters
DVNYTQK,1915-08-28,2,regular,Waters
DKMVSSV,1915-08-28,1,regular,Buckley
ZTZFYYZ,1915-08-28,2,regular,Buckley
DHWRZSH,1915-08-28,1,regular,Finnell
RPZGDBR,1915-08-28,2,regular,Finnell
YWSJNBS,1915-08-31,1,regular,Waters
WTTJKLV,1915-08-31,2,regular,Waters
VMZYMGB,1915-08-31,0,regular,Buckley
NTYWDLZ,1915-09-01,1,regular,Waters
KFVKVXD,1915-09-01,2,regular,Waters
FXPSWQT,1915-09-01,1,regular,Buckley
MKRNNZC,1915-09-01,2,regular,Buckley
WKLFDWV,1915-09-01,1,regular,Finnell
BZJBQKC,1915-09-01,2,regular,Finnell
SWHDLVL,1915-09-02,0,regular,Finnell
TMHPWZH,1915-09-02,0,regular,Waters
WJQPJFL,1915-09-02,0,regular,Buckley
ZQPZPMJ,1915-09-03,0,regular,Finnell
FKJDNYW,1915-09-03,0,regular,Waters
GNXFHCM,1915-09-03,0,regular,Buckley
VQNGWVH,1915-09-04,1,regular,Finnell
CLZDYZM,1915-09-04,2,regular,Finnell
NQPVTZW,1915-09-04,1,regular,Buckley
PSKLSLS,1915-09-04,2,regular,Buckley
YWVSWZB,1915-09-04,1,regular,Waters
LZQHNPZ,1915-09-04,2,regular,Waters
CLPGFHB,1915-09-06,1,regular,Buckley
SZGFVGR,1915-09-06,2,regular,Buckley
JBVTDJX,1915-09-06,1,regular,Finnell
DTMCZRJ,1915-09-06,2,regular,Finnell
WPTNQDB,1915-09-06,1,regular,Waters
XDFQYDM,1915-09-06,2,regular,Waters
