key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
DRMVNMR,1915-06-08,0,Blue Ridge,regular,,Gettysburg,8,,Martinsburg,9,,,2:25,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 9, 1915",0,0,3,0,1,0,0,4,0,,,,,,,,,,2,0,3,0,3,0,0,1,x,,,,,,,,,
LYDJYPG,1915-06-09,0,Blue Ridge,regular,,Frederick,6,,Chambersburg,4,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 10, 1915",0,0,1,1,1,1,0,0,0,2,,,,,,,,,1,0,3,0,0,0,0,0,0,0,,,,,,,,
YDTPMZX,1915-06-09,0,Blue Ridge,regular,,Gettysburg,1,,Hagerstown,8,,,1:50,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 10, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,3,0,0,2,2,0,1,0,x,,,,,,,,,
TSBDNBW,1915-06-09,0,Blue Ridge,regular,,Hanover,3,,Martinsburg,5,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 10, 1915",1,0,0,0,0,2,0,0,0,,,,,,,,,,1,0,0,0,0,2,0,2,x,,,,,,,,,
FJMKPBC,1915-06-10,0,Blue Ridge,regular,,Frederick,2,,Chambersburg,0,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 11, 1915",0,0,1,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
YZQJRNQ,1915-06-10,0,Blue Ridge,regular,,Gettysburg,0,,Hagerstown,1,,,1:35,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 11, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,1,0,0,x,,,,,,,,,
KHTGKHZ,1915-06-10,0,Blue Ridge,regular,,Hanover,2,,Martinsburg,4,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 11, 1915",0,2,0,0,0,0,0,0,0,,,,,,,,,,0,0,2,2,0,0,0,0,x,,,,,,,,,
LTMMCCT,1915-06-11,0,Blue Ridge,regular,,Chambersburg,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCKDHZQ,1915-06-11,0,Blue Ridge,regular,,Hanover,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCMVNFB,1915-06-11,0,Blue Ridge,regular,,Gettysburg,1,,Martinsburg,8,,,2:10,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 12, 1915",0,0,0,0,0,1,0,0,0,,,,,,,,,,1,0,0,2,5,0,0,0,x,,,,,,,,,
NZDNLZG,1915-06-12,0,Blue Ridge,regular,,Chambersburg,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 14, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCWQQVQ,1915-06-12,0,Blue Ridge,regular,,Hanover,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 14, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPNFJRR,1915-06-12,0,Blue Ridge,regular,,Gettysburg,5,,Martinsburg,6,,,2:20,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150607.txt,"Gettysburg Star and Sentinel, June 13, 1915",1,0,0,2,0,0,2,0,0,,,,,,,,,,3,0,0,1,0,0,1,0,1,,,,,,,,,
JPXJHNX,1915-06-14,0,Blue Ridge,regular,,Martinsburg,3,,Chambersburg,5,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 15, 1915",0,0,0,0,0,0,2,1,0,,,,,,,,,,0,0,2,1,0,1,0,1,x,,,,,,,,,
RLFZPCX,1915-06-14,0,Blue Ridge,regular,,Hagerstown,0,,Gettysburg,5,,,1:56,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 15, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,1,2,1,1,x,,,,,,,,,
FDLXZRW,1915-06-14,0,Blue Ridge,regular,,Frederick,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 15, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QTLNHVC,1915-06-15,0,Blue Ridge,regular,,Martinsburg,6,,Chambersburg,0,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 16, 1915",2,0,1,2,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
JCSPPTH,1915-06-15,0,Blue Ridge,regular,,Hagerstown,,,Gettysburg,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSGQHNY,1915-06-15,0,Blue Ridge,regular,,Frederick,,,Hanover,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGSBDSC,1915-06-16,0,Blue Ridge,regular,,Frederick,4,,Gettysburg,3,,,2:00,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 17, 1915",0,1,0,1,1,1,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,1,1,,,,,,,,,
HCRRVGJ,1915-06-16,0,Blue Ridge,regular,,Hagerstown,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 17, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKQQGFW,1915-06-16,0,Blue Ridge,regular,,Chambersburg,0,,Martinsburg,10,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 17, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,1,2,0,1,1,3,0,2,x,,,,,,,,,
YFPHGRD,1915-06-17,0,Blue Ridge,regular,,Gettysburg,0,,Frederick,1,,,1:40,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 18, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,
MJPCLNS,1915-06-17,0,Blue Ridge,regular,,Hagerstown,,,Hanover,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDHJHSD,1915-06-17,0,Blue Ridge,regular,,Chambersburg,4,,Martinsburg,10,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 18, 1915",0,0,0,0,1,1,0,2,0,,,,,,,,,,3,0,2,0,0,3,2,0,x,,,,,,,,,
SMKLSSN,1915-06-18,0,Blue Ridge,regular,,Hagerstown,5,,Chambersburg,4,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 19, 1915",0,0,0,1,2,1,0,0,1,,,,,,,,,,0,0,3,1,0,0,0,0,0,,,,,,,,,
FCTXDCY,1915-06-18,0,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,postponed,rain,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 19, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QBPNQDQ,1915-06-18,0,Blue Ridge,regular,,Gettysburg,8,,Hanover,7,,,2:05,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 19, 1915",1,0,0,0,0,1,2,0,4,,,,,,,,,,0,0,0,0,0,6,0,0,1,,,,,,,,,
HRXYKWV,1915-06-19,0,Blue Ridge,regular,,Hagerstown,,,Chambersburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCWZQGN,1915-06-19,1,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FYHQXVN,1915-06-19,2,Blue Ridge,regular,,Martinsburg,,,Frederick,,,,,,postponed,darkness,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNQRHRM,1915-06-19,0,Blue Ridge,regular,,Gettysburg,3,,Hanover,7,,,2:00,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150614.txt,"Gettysburg Star and Sentinel, June 21, 1915",1,0,0,0,0,0,0,1,1,,,,,,,,,,2,0,2,2,1,0,0,0,x,,,,,,,,,
CLHXZFY,1915-06-21,0,Blue Ridge,regular,,Hanover,0,,Gettysburg,5,,,2:00,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 22, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,1,3,0,1,0,0,0,0,0,,,,,,,,,
NZGGGBH,1915-06-21,0,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNXZKPK,1915-06-21,0,Blue Ridge,regular,,Frederick,5,,Martinsburg,3,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 22, 1915",0,2,0,0,2,1,0,0,0,,,,,,,,,,2,0,0,0,0,1,0,0,0,,,,,,,,,
BNMCBQQ,1915-06-22,0,Blue Ridge,regular,,Hanover,0,,Gettysburg,0,,,1:58,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 23, 1915",1,0,0,1,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
ZPFPKQM,1915-06-22,1,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNDGSXP,1915-06-22,2,Blue Ridge,regular,,Chambersburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTRZDNN,1915-06-22,0,Blue Ridge,regular,,Frederick,0,,Martinsburg,5,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 23, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,2,0,0,0,0,1,x,,,,,,,,,
QBHZHLL,1915-06-23,0,Blue Ridge,regular,,Hanover,,,Chambersburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 24, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YVZDHDC,1915-06-23,0,Blue Ridge,regular,,Gettysburg,1,,Frederick,4,,,1:30,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 24, 1915",0,0,0,0,1,0,0,0,0,,,,,,,,,,0,0,0,0,2,2,0,0,0,,,,,,,,,
GKHMGXM,1915-06-23,0,Blue Ridge,regular,,Martinsburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 24, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZLFFQGX,1915-06-24,0,Blue Ridge,regular,,Hanover,,,Chambersburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 25, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YSSPVJH,1915-06-24,0,Blue Ridge,regular,,Gettysburg,6,,Frederick,7,,500,1:40,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 25, 1915",0,0,0,4,0,0,0,2,0,,,,,,,,,,0,1,2,1,0,1,0,2,x,,,,,,,,,
ZDSMHMZ,1915-06-24,0,Blue Ridge,regular,,Martinsburg,,,Hagerstown,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 25, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VXYHFPP,1915-06-25,0,Blue Ridge,regular,,Gettysburg,2,,Chambersburg,1,,,1:50,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 26, 1915",1,0,0,0,1,0,0,0,0,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,
KCNWKZD,1915-06-25,1,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 26, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QZHWMWG,1915-06-25,2,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 26, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QNSGNSS,1915-06-25,0,Blue Ridge,regular,,Hagerstown,2,,Martinsburg,11,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 26, 1915",0,0,0,0,0,2,0,0,0,0,,,,,,,,,1,0,3,2,2,3,0,0,0,x,,,,,,,,
DCBHFZX,1915-06-26,1,Blue Ridge,regular,,Gettysburg,0,,Chambersburg,8,,,1:45,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,6,0,0,0,,,,,,,,,
TSCMNGF,1915-06-26,2,Blue Ridge,regular,,Gettysburg,3,,Chambersburg,4,,,1:55,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",1,0,0,0,0,2,0,0,,,,,,,,,,,0,1,0,0,0,2,0,1,,,,,,,,,,
RYPLYQL,1915-06-26,1,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYBJWCQ,1915-06-26,2,Blue Ridge,regular,,Hanover,,,Frederick,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKJLQSK,1915-06-26,1,Blue Ridge,regular,,Hagerstown,,,Martinsburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDKPQHG,1915-06-26,2,Blue Ridge,regular,,Hagerstown,,,Martinsburg,,,,,,,,,transcript/1915/1915-GSS/boxes/BLRI-19150621.txt,"Gettysburg Star and Sentinel, June 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
