key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
DVFBXSV,1915-08-04,1,North Carolina State,regular,,Winston-Salem,5,,Greensboro,3,,650,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 5, 1915",0,1,0,0,0,0,3,0,1,,,,,,,,,,,,,0,0,2,0,0,0,0,0,1,,,,,,,,,,,,
GMNVQSG,1915-08-04,2,North Carolina State,regular,,Winston-Salem,2,,Greensboro,3,,800,2:05,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150729.txt,"Charlotte Daily Observer, August 5, 1915",0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,
TZDFYBS,1915-08-05,0,North Carolina State,regular,,Raleigh,5,,Asheville,4,,637,2:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 6, 1915",0,1,1,0,1,1,0,0,0,0,0,1,,,,,,,,,,0,0,1,3,0,0,0,0,0,0,0,0,,,,,,,,,
QMPTYHQ,1915-08-05,0,North Carolina State,regular,,Durham,2,,Greensboro,6,,500,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 6, 1915",0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,3,2,0,0,1,0,0,0,x,,,,,,,,,,,,
MDYCSZP,1915-08-05,0,North Carolina State,regular,,Charlotte,6,,Winston-Salem,3,,500,1:36,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 6, 1915",0,0,0,0,0,2,2,1,1,,,,,,,,,,,,,0,1,0,0,1,0,0,1,0,,,,,,,,,,,,
TGLPXXP,1915-08-06,0,North Carolina State,regular,,Raleigh,4,,Asheville,7,,701,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 7, 1915",3,0,0,0,0,0,1,0,0,,,,,,,,,,,,,0,3,0,0,0,2,1,1,x,,,,,,,,,,,,
PTBKYTH,1915-08-06,0,North Carolina State,regular,,Durham,5,,Greensboro,4,,600,2:05,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 7, 1915",1,0,2,0,0,0,0,2,0,,,,,,,,,,,,,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,
TNFXMXM,1915-08-06,0,North Carolina State,regular,,Charlotte,10,,Winston-Salem,17,,400,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 7, 1915",2,1,0,0,0,3,3,1,0,,,,,,,,,,,,,0,7,0,2,0,2,3,3,x,,,,,,,,,,,,
SJZKCJH,1915-08-07,0,North Carolina State,regular,,Raleigh,2,,Asheville,6,,803,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 8, 1915",0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,0,0,0,0,3,1,0,2,x,,,,,,,,,,,,
VTVSVFZ,1915-08-07,0,North Carolina State,regular,,Durham,4,,Greensboro,5,,750,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 8, 1915",1,0,0,0,1,2,0,0,0,,,,,,,,,,,,,0,0,4,0,1,0,0,0,x,,,,,,,,,,,,
ZZRGYNR,1915-08-07,0,North Carolina State,regular,,Charlotte,16,,Winston-Salem,3,,500,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 8, 1915",0,5,4,2,0,1,3,1,0,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,
