game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
37f30424-fe76-5fd2-9365-f736cdf221c2,1915-05-10,0,TOTALS,,Fort William-Port Arthur,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Brammell,,Duluth,rf,1,1,3,,0,,,,,,,,,,1,,,,,,,,,,,1,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Croake,,Duluth,1b,2,3,2,,0,,,,,,,,1,,,,,,,,,,,,,8,3,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Collins,,Duluth,3b,3,4,2,,1,1,,,,,,1,,,,,,,,,,,,,,0,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Williams,,Duluth,cf,4,4,1,,2,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Wolfe,,Duluth,ss,5,5,1,,4,,,,,,,,,,,,,,,,,,,,,4,1,0,1,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Ford,,Duluth,lf,6,4,0,,1,1,,,,,,,,1,,,,,,,,,,,,1,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,O'Brien,,Duluth,2b,7,5,0,,1,,,,,,,,,,,,,,,,,,,,,0,2,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Sweeley,,Duluth,c,8,3,1,,2,,,,,,,,,,,,,,,,,,,,,11,0,1,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Cadreau,,Duluth,p,9,3,0,,0,,,,,,,,,,,,,,,,5,6,,3,1,1,5,3,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,TOTALS,,Duluth,,,32,10,,11,,,,,,,,,,,10,2,,,,,,,,,27,13,4,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Pfeffer,,St. Boniface,ss,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,1,2,1,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Culver,,St. Boniface,p,10,3,0,,1,,,,,,,,,,,,,,,,10,8,1,1,,1,1,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Adams,,St. Boniface,1b,2,5,2,,2,,,,,,,,,,,,,,,,,,,,,6,1,0,1,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Lane,,St. Boniface,lf,3,5,1,,1,,,,,,,,,,,,,,,,,,,,,3,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Miller,,St. Boniface,cf,4,5,0,,0,,,,,,,,,,,,,,,,,,,,,3,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Nagle,,St. Boniface,2b,5,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,1,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Spellman,,St. Boniface,rf-c,6,3,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Murphy,,St. Boniface,3b,7,5,0,,2,,1,,,,,,,,,,,,,,,,,,,2,1,1,1,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Stevenson,,St. Boniface,rf,8,0,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,Mueller,,St. Boniface,c,9,3,1,,1,1,,,,,,,,,,,,,,,,,,,,6,2,0,,,1
7479eebe-d31f-5e16-a285-fe2c4c7ecd5b,1915-05-10,0,TOTALS,,St. Boniface,,,37,7,,11,,,,,,,,,,,8,1,,,,,,,,,25,11,4,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Burgwald,,Superior,3b,1,4,0,,1,1,,,,,,,,,,,,,,,,,,,,3,3,1,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Connolly,,Superior,p,10,2,0,,0,,,,,,,,,,,,,5,,2,2,2,,,,0,2,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,McGee,,Superior,2b,2,4,1,,2,,,,,,,,1,,1,,,,,,,,,,,2,1,2,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Swalm,,Superior,lf,4,5,1,,2,,,,,,,,,,,,,,,,,,,,,4,0,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Glass,,Superior,rf,5,2,0,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Bassey,,Superior,cf,6,3,0,,1,,,,,,,,,,,,,,,,,,,,,2,0,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Girth,,Superior,ss,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,2,1,1,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Kurke,,Superior,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,8,1,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Chicken,,Superior,p,9,2,0,,1,,,,,,,,1,,,,,4,,2,,3,,,1,0,1,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,TOTALS,,Superior,,,31,2,,7,,,,,,,,,,,10,,,,,,,,,,27,8,4,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Bemis,,Winnipeg,cf,1,4,0,,0,,,,,,,,,,1,,,,,,,,,,,1,0,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Curtis,,Winnipeg,lf,2,4,1,,0,,,,,,,,1,,2,,,,,,,,,,,1,0,0,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Jude,,Winnipeg,rf,3,3,0,,1,,,,,,,,,,,,,,,,,,,,,2,0,1,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Baker,,Winnipeg,2b,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,1,4,0,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Kline,,Winnipeg,3b,5,4,0,,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Hennessey,,Winnipeg,1b,6,3,0,,2,,,,,,,,,,2,,,,,,,,,,,15,0,0,2,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Dean,,Winnipeg,ss,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,O'Donnell,,Winnipeg,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,6,1,0,,,1
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,Shirley,,Winnipeg,p,9,3,0,,0,,,,,,,,,,,,,,,,5,6,1,,,1,7,0,1,,
79de8adb-923d-5a10-9c2e-05f931e493cf,1915-05-10,0,TOTALS,,Winnipeg,,,32,1,,4,,,,,,,,,,,6,,,,,,,,,,27,13,1,,,
30535ff6-061f-550d-a68e-19c650f14b2c,1915-05-11,0,TOTALS,,Fargo-Moorhead,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
